ADD TYG 567,3 25235 725182
SEARCH TZR 160,0 27811 424847
REMOVE QGX 241,5 8991 670394
UPDATE JJW NVS 91,4 80246 558917
ADD YLT 162,6 40458 271526
REMOVE GQV 362,2 93512 306283
REMOVE OZL 585,3 3617 88144
UPDATE YCS BFQ 71,1 16275 394799
ADD ZWE 69,5 61441 169739
ADD MDU 36,1 15457 450262
UPDATE VLI IQH 55,6 54841 936731
SEARCH AVT 184,1 73431 444684
ADD UQQ 156,8 99708 356868
SEARCH GNY 869,4 94488 280046
ADD QIN 683,1 17470 543996
ADD YRK 60,9 89761 96982
SEARCH RGZ 717,2 99406 703991
REMOVE JHT 450,0 81400 163737
ADD FMV 914,4 33952 180424
SEARCH KJV 994,4 14587 978780
ADD HEM 345,2 46744 995271
REMOVE LCA 864,9 75313 90058
REMOVE WCK 271,1 66539 246767
UPDATE BTW VEZ 18,7 68349 366369
SEARCH EFG 956,9 73015 91057
ADD MYE 603,6 4780 511477
ADD SUL 261,6 83277 203789
SEARCH VLP 654,0 1079 443760
REMOVE HLH 400,4 6512 716635
ADD GAS 5,2 67192 931317
ADD FVC 361,2 7521 829002
SEARCH DUR 140,6 48670 755493
SEARCH KTU 102,5 72554 168608
SEARCH ZHV 781,7 37926 623318
ADD NRL 23,3 64054 258974
SEARCH RTT 208,6 25829 317851
SEARCH VFL 938,1 80324 901541
SEARCH XBO 26,3 12154 298027
ADD SQN 877,0 64091 524826
REMOVE MXC 532,1 95562 852221
ADD URZ 508,2 64276 338964
REMOVE YVF 879,6 27683 817804
UPDATE SZP DMA 71,2 65751 728997
UPDATE BOX TRN 44,1 10810 787493
ADD KNY 238,0 96033 589229
UPDATE UXM XGN 87,9 70283 15835
ADD RZU 617,0 5144 430139
ADD VLW 415,3 86762 981309
ADD VAK 666,9 22516 404506
REMOVE UAP 923,5 49445 986123
ADD TLY 758,0 15212 834505
ADD GDK 484,1 37007 973410
ADD EXY 594,0 43780 648072
REMOVE OMK 992,8 27358 857642
SEARCH JLW 828,4 62103 898736
REMOVE LQP 658,1 83311 187816
REMOVE BHY 805,4 27206 146286
REMOVE XKE 228,8 5901 837178
ADD KYH 612,6 32661 674750
REMOVE RLZ 165,0 74917 754724
UPDATE IIL JIK 10,9 76904 908745
REMOVE XVG 59,5 97922 601035
SEARCH KJQ 665,6 52358 118855
ADD HQU 679,3 68870 538580
ADD AMH 83,2 22299 313673
ADD LHT 379,8 19837 288917
ADD RXA 973,9 95140 532355
ADD YYU 534,8 68427 63646
UPDATE JSK CEK 0,4 22675 979387
SEARCH HID 565,4 43478 505309
REMOVE BBY 765,6 46967 217096
REMOVE RWP 192,8 30608 519943
ADD RXR 781,6 52583 982431
ADD SEI 819,9 48315 74408
REMOVE IXS 958,8 81806 62634
SEARCH IJI 418,0 22082 383064
SEARCH TPI 144,5 10858 192294
ADD TIR 234,9 53164 348091
ADD YNB 140,7 508 383905
ADD VPU 156,8 99095 229714
SEARCH ZQL 89,7 16145 303584
REMOVE DUC 609,7 46432 722182
UPDATE JBO AXI 73,7 70019 291529
ADD DXW 677,0 29254 234623
ADD MRE 787,5 32848 592743
REMOVE NTH 904,1 24637 354289
UPDATE NBN IEX 49,1 31067 781679
ADD QZP 545,1 64604 783968
ADD ZAV 549,3 20880 96976
ADD AKG 225,0 87841 121074
ADD GKY 770,9 27452 977215
ADD YTR 596,9 62376 300655
ADD VPX 857,3 3450 957249
REMOVE UFK 307,3 68850 959184
SEARCH XNE 798,7 63249 601433
ADD KLQ 330,6 49083 167640
ADD HSD 154,9 8578 835655
SEARCH FRB 462,5 91605 884179
REMOVE GYA 988,1 22492 356553
SEARCH KSV 685,1 84380 799447
SEARCH HCE 801,7 10989 962968
ADD ORY 834,1 2036 970408
UPDATE NGX KRP 20,4 24990 276047
ADD XMX 512,5 7655 547312
ADD SRO 286,1 12778 450705
UPDATE IUA LWN 12,3 52753 119103
SEARCH NEI 133,1 54909 8241
REMOVE GEA 429,7 14299 151172
ADD VBA 503,8 32328 314811
ADD FZM 489,3 97607 948608
REMOVE IKA 415,5 69777 843182
SEARCH MBC 543,2 71000 18471
ADD HLE 908,0 70162 623723
ADD LGC 755,0 25511 393256
ADD CZI 91,3 99051 473389
SEARCH VJP 312,5 66570 587185
REMOVE BJP 888,9 29273 546442
ADD XIQ 950,0 73924 538001
REMOVE CVF 490,9 70043 946380
UPDATE RKZ LRR 9,6 46485 778903
ADD XXP 854,9 46215 550164
UPDATE ZRF KDH 63,4 34138 394382
ADD XZL 451,8 33206 30509
REMOVE ZDQ 86,1 3983 786593
ADD XRX 252,4 20766 159159
REMOVE INP 677,7 26238 853449
UPDATE IIL RDJ 81,2 29236 586493
UPDATE JOV BAG 52,2 20126 460112
SEARCH TTY 935,9 14139 206728
UPDATE ZDK VVQ 37,0 57761 619314
ADD AXT 679,8 18459 473439
UPDATE QRN IEC 82,4 12850 587929
REMOVE VVY 156,4 83534 156070
UPDATE HSP NYK 88,0 16336 616546
ADD YVB 360,6 14296 207750
SEARCH UQQ 697,7 60159 665520
REMOVE FVV 175,3 36708 922565
ADD NHY 324,4 93283 350705
REMOVE DGL 569,8 42229 685265
REMOVE ZZZ 854,0 41580 425533
SEARCH KYQ 127,3 25030 45156
SEARCH AOB 902,1 86075 37448
REMOVE GMH 482,0 9590 71735
ADD DMP 80,1 3012 210769
ADD FQW 940,3 75839 30378
REMOVE SRR 821,0 69626 25510
REMOVE YCJ 424,7 73622 497827
UPDATE UNW API 53,9 55104 440075
ADD CQE 656,2 78145 544016
ADD DFV 955,7 55453 277432
UPDATE NXM ZMB 14,0 2990 279394
ADD SLN 291,4 24220 361590
ADD LEZ 237,1 97515 443863
REMOVE EVN 271,3 70579 744245
REMOVE OUM 683,5 88423 723163
REMOVE SUE 730,2 10157 605928
ADD KKK 139,1 10188 218689
ADD EZC 337,8 36069 768026
REMOVE XAV 517,5 89506 68641
ADD OIJ 690,3 81867 312644
ADD KZC 889,4 64477 76453
ADD ZBE 722,5 29092 147386
ADD KFN 199,6 61319 363482
ADD GQY 283,1 14625 946779
REMOVE UDB 36,3 54898 115047
ADD QPB 988,1 28855 438257
REMOVE OWO 375,0 36438 422884
ADD ESX 405,2 33231 768389
SEARCH XNJ 130,9 81226 455830
ADD AYL 622,5 40632 175770
ADD DYX 333,9 6563 558718
REMOVE YHI 405,5 56804 638214
ADD FYH 191,3 61486 60037
ADD VMD 732,0 71240 234275
ADD SEA 459,3 16033 312647
ADD BZA 265,5 64565 46478
REMOVE SWV 723,3 60729 878112
REMOVE UAF 727,4 2781 872849
ADD VQP 26,4 73068 450978
ADD RJW 550,7 60429 344451
UPDATE ZVM QNS 34,2 26737 748823
REMOVE XPV 75,3 59591 228848
ADD SPB 946,3 74061 405068
UPDATE EPD PCS 9,7 81092 41508
REMOVE WZY 175,8 38643 179742
ADD VYF 181,1 76625 996250
ADD VLR 746,1 65970 582399
ADD LDK 444,7 1493 127988
REMOVE RTT 937,9 97345 538515
REMOVE RET 2,3 84099 2744
ADD DOF 347,4 66124 193714
ADD UTF 264,5 58833 92055
UPDATE RZM UEM 48,4 42453 767350
ADD ARU 808,9 38158 66436
REMOVE PQG 805,0 40680 470542
REMOVE UHO 587,9 52797 328941
SEARCH NUA 228,7 88908 615774
ADD XBQ 602,3 45411 645439
SEARCH IOO 991,4 38292 816011
SEARCH ACN 92,2 54224 759237
ADD VDB 181,9 35114 581242
SEARCH KPJ 883,4 52228 679897
ADD EFJ 761,9 11125 661427
UPDATE GKA YWA 92,6 39172 180854
SEARCH XLC 466,6 5775 865635
UPDATE WQD MKN 73,3 99995 406088
SEARCH NVH 636,8 87244 810127
UPDATE VLA YOH 83,2 67181 142847
UPDATE XDC BTN 32,1 8782 209809
REMOVE MDG 397,1 76453 462866
ADD EHF 792,8 70239 780421
ADD UNA 318,1 3256 619841
REMOVE TRD 162,9 5636 592439
ADD YNQ 229,3 62687 472111
UPDATE YLG ZSV 72,4 25697 531792
ADD ZYP 485,1 55452 332861
ADD XAT 793,0 62956 643222
REMOVE PSH 175,9 3011 776699
ADD PCU 844,8 79231 677803
UPDATE UJY ZLO 50,8 84357 343410
ADD AIN 575,5 41188 531366
REMOVE FRK 218,7 84631 836860
UPDATE OTJ NIB 0,2 36996 278504
REMOVE HRB 103,8 95972 246226
REMOVE PLL 86,3 5560 629711
ADD RLY 668,8 25532 227046
REMOVE QKK 624,1 7474 21044
REMOVE HGM 932,6 22083 375524
ADD MJP 678,1 32948 548755
SEARCH CUB 641,2 70998 665122
REMOVE XNT 509,5 47973 215187
ADD OID 995,8 9533 577708
ADD JRS 905,2 73946 962182
ADD TCD 94,4 89290 654051
ADD GST 179,8 60983 183523
UPDATE SIY WDK 41,7 40796 947678
UPDATE UVB SND 40,4 9643 15672
REMOVE PTY 920,4 97489 853928
UPDATE EZR SKJ 7,5 71538 806608
UPDATE LRJ SSD 84,0 73389 136342
REMOVE RBA 10,8 92824 158392
REMOVE OOD 972,1 81284 339219
ADD YPQ 189,6 78059 340384
ADD JHU 434,1 28569 3339
SEARCH IIL 122,3 84935 714475
ADD HKW 858,1 34747 915629
ADD LKQ 410,2 96925 387654
SEARCH UWN 524,0 99030 293006
SEARCH DQU 549,3 10767 45743
ADD TJJ 524,0 34098 532110
ADD MDP 479,0 2789 85143
SEARCH FKR 593,5 85265 640955
REMOVE KJB 349,5 21258 688194
ADD QVO 834,0 66015 567115
ADD XXV 88,9 94171 579819
ADD XRM 219,2 61895 867780
SEARCH PQL 960,7 61876 188512
REMOVE PQF 918,5 70559 276531
ADD DXU 888,7 18358 648989
SEARCH YTC 633,1 58914 773305
ADD ILQ 441,9 58384 723170
ADD MRI 957,2 51488 149545
REMOVE MQQ 273,2 47340 430005
REMOVE YXI 190,4 85452 749479
ADD XUG 711,5 31519 315622
ADD ZYZ 582,8 15526 858885
SEARCH GXK 523,6 96809 668921
ADD ESB 41,4 59969 980417
REMOVE FZJ 467,0 28870 102908
REMOVE PLK 307,8 1049 183767
ADD XMS 710,1 76541 240689
UPDATE HNE NDL 4,6 66450 663192
REMOVE BXP 940,5 77933 772429
REMOVE GPI 297,1 5721 303805
ADD TPL 638,3 88197 375156
UPDATE VZP LPK 19,8 87576 200170
ADD WXE 231,4 62776 367629
ADD FFC 699,9 76391 382019
ADD UAO 739,8 71289 220110
SEARCH NYG 250,0 42278 807342
UPDATE MVB XOL 91,4 70222 608777
REMOVE AKL 787,3 56970 929807
UPDATE CMO IGG 20,1 13995 720685
ADD NXZ 87,5 16702 887209
SEARCH UDG 616,1 97970 172804
SEARCH PFD 342,0 83549 691824
ADD GBA 69,7 41982 924653
ADD PDL 783,6 71112 255724
ADD WCR 950,2 62415 176565
REMOVE MZX 776,5 96601 760581
ADD ZCC 241,7 42004 190475
UPDATE CFS MRQ 63,9 81455 238012
ADD CVS 855,6 43059 346613
ADD XKG 349,9 17755 445216
ADD EIA 446,5 86296 109925
UPDATE XVP ZTA 29,2 47713 267293
SEARCH ZFU 459,3 77516 203309
REMOVE WYL 968,9 90252 685250
ADD JSI 37,5 52157 18841
ADD SFW 626,2 91720 554823
ADD UAL 560,7 60881 979470
ADD GAZ 905,2 48573 993304
UPDATE PAT TYC 51,5 60730 915025
UPDATE SRB XOG 61,9 68701 811786
UPDATE GQH DDX 55,4 88059 361305
UPDATE TIN MFW 31,5 12244 129317
ADD JVZ 126,8 70076 668204
ADD BZV 707,3 49461 467386
ADD LHQ 11,7 45189 741497
ADD KWB 82,7 20241 375498
UPDATE HBT JCE 19,4 79487 648319
SEARCH OXP 792,6 23997 174947
UPDATE ZRG HAT 36,0 25849 981738
ADD NXG 860,5 82671 607622
ADD BXH 130,9 3619 893102
ADD NAR 512,9 61814 99895
SEARCH MWS 970,0 59164 128363
SEARCH ENK 958,1 51614 981711
ADD VVA 11,1 89137 30151
ADD CFH 703,4 30461 956752
ADD FFL 514,8 54355 765951
REMOVE LBL 493,1 73562 107058
ADD TVS 433,8 79221 745263
ADD KPX 188,6 76458 79178
REMOVE VVU 299,5 45594 5675
UPDATE KJW NMI 39,6 82373 165963
SEARCH WWF 380,8 43039 391504
ADD RIR 672,3 16022 489597
REMOVE AFQ 614,2 63437 13175
REMOVE QOS 57,3 42560 417435
ADD CHR 14,9 70386 371893
REMOVE BLE 308,0 51794 254959
ADD DTR 505,5 91747 5688
UPDATE RTJ XRY 83,4 69733 984370
ADD YVZ 178,9 71321 120844
UPDATE ATM BFO 91,0 23512 464032
SEARCH WMF 360,6 64199 79547
ADD JQT 33,2 58397 320891
REMOVE LMX 444,3 45330 444162
ADD AAB 866,0 75921 865057
REMOVE LQN 270,3 34265 765012
ADD TRD 502,3 24016 359233
SEARCH QWD 240,8 23620 254726
REMOVE YWV 262,0 60291 344539
UPDATE SEH AZL 67,8 73887 628825
ADD PEO 321,0 56914 867930
SEARCH NJM 423,4 23133 955963
ADD UPU 687,1 20738 209507
ADD ILJ 825,5 84188 590209
ADD JNZ 765,1 58254 504908
UPDATE ECA BBU 55,1 39068 525652
ADD JZA 984,0 45226 79814
ADD PMP 682,3 35618 288599
ADD CJD 137,2 40815 166717
SEARCH PHI 35,3 63812 974393
UPDATE XFO TCC 14,9 60099 731215
REMOVE CMZ 277,4 40732 757171
REMOVE VPK 95,1 53134 882361
SEARCH KHD 498,0 85568 867468
ADD ZQO 911,9 19877 540513
ADD QOI 1,7 78088 813753
ADD VGM 570,5 16482 151902
REMOVE AOM 105,4 93553 437578
REMOVE EJL 967,8 97710 14652
ADD NER 577,3 39801 219797
UPDATE EZW DTZ 20,7 70529 690655
ADD DDL 581,7 38387 296352
ADD JRX 458,0 64841 35014
ADD ERU 392,4 66121 451571
ADD MFR 904,6 79878 814781
ADD EGW 166,9 67192 734906
UPDATE JWL HTW 39,9 4442 460590
REMOVE KEZ 385,1 38160 154211
ADD KYA 317,5 30661 671141
SEARCH SXX 239,1 40619 14484
ADD KXC 129,5 52240 958820
REMOVE XMJ 854,7 21557 339497
ADD PAC 385,2 60640 731206
ADD NVS 6,4 13963 830286
UPDATE HXB SCI 58,7 77404 398364
ADD GYA 230,3 55970 560797
ADD JUV 222,8 725 704266
ADD TON 632,0 69214 940798
REMOVE FRU 173,4 84373 923481
REMOVE MJN 956,0 90374 660412
UPDATE ZUA UQC 20,2 5199 125971
ADD CHM 723,8 44261 749425
UPDATE JRK HJJ 9,7 38259 894174
ADD WKB 281,0 54970 558820
SEARCH HCW 807,6 22602 640599
REMOVE XLD 902,6 6021 77900
SEARCH KGB 222,4 5603 657783
SEARCH SOE 225,1 84234 916803
UPDATE ZSQ YXD 64,9 75298 164847
ADD YCZ 889,0 84223 240736
SEARCH NQZ 472,6 49420 692915
SEARCH ZHP 99,4 49762 140567
REMOVE EQS 616,0 2834 108830
SEARCH JXX 874,5 93569 350846
REMOVE MBU 393,8 68691 445515
ADD VKT 317,6 8321 865890
REMOVE JCR 34,0 739 692228
ADD QGQ 56,8 89489 590894
SEARCH RKN 790,1 59873 71107
REMOVE VOE 49,3 33077 590195
REMOVE BCB 357,6 26414 333451
SEARCH DOH 670,1 87263 950832
ADD AZC 799,0 79093 674471
REMOVE UHE 344,7 53690 381298
REMOVE TAX 496,7 15545 167194
SEARCH EAC 472,6 15734 690303
ADD ZDY 896,1 74329 667022
ADD TTM 758,3 3493 750129
SEARCH RTN 117,7 55980 360960
ADD JAT 361,3 58986 874498
SEARCH GAK 907,9 26572 30700
REMOVE DAC 986,5 68213 865500
UPDATE OVG CNS 20,6 40844 921585
REMOVE WJX 806,6 16131 631692
UPDATE UZQ YRG 3,9 20226 980065
ADD ZAV 504,5 35478 971397
REMOVE NVG 73,0 64960 870683
REMOVE BCU 399,2 11949 221488
SEARCH IUC 814,7 78603 312539
ADD LXF 61,6 86554 304894
ADD CMI 530,0 66376 583771
SEARCH ZBR 438,3 7913 703218
UPDATE QLP ZFA 41,4 26350 606184
ADD PTX 84,2 99148 485517
REMOVE JJL 150,0 14423 211021
ADD RQO 726,3 96 870493
ADD VRP 639,0 10489 560799
UPDATE SDO OAR 1,3 585 159708
ADD MQO 636,6 27150 569655
REMOVE IFY 481,4 40335 133332
ADD VXA 220,3 93497 395843
ADD AMK 538,1 47240 691135
ADD ICE 132,5 6386 795319
ADD RKS 363,1 53356 570574
SEARCH URB 819,0 43956 747194
ADD LWE 921,5 428 110945
UPDATE DGH XMQ 67,5 86024 588359
ADD ZMS 299,3 76503 648208
ADD CGG 522,1 76081 462236
REMOVE RNP 654,9 4025 764967
ADD CQX 154,0 16550 600812
ADD RQH 616,5 74731 507797
SEARCH PQG 221,5 3185 552474
REMOVE VYK 332,9 46115 253002
ADD CEE 763,4 26168 614410
SEARCH GIJ 450,3 41968 611670
REMOVE BNG 338,1 83682 799063
UPDATE FQX KOG 39,2 79568 975902
ADD IRR 367,8 41199 375463
REMOVE VYW 398,5 87988 581604
ADD JTQ 611,9 170 236839
REMOVE TTC 506,7 39896 131549
UPDATE XNW KSI 64,4 13484 914494
REMOVE GWL 428,3 32572 55425
UPDATE JQK KLJ 54,8 85820 934741
ADD BHA 469,4 99296 552095
REMOVE QDH 118,5 97118 312578
ADD UBV 194,9 63095 350022
SEARCH WAN 874,5 7985 430646
REMOVE XCW 287,9 28338 424275
SEARCH RGI 807,6 21420 296102
ADD QAX 473,8 17573 696865
UPDATE NKO MAP 38,4 78019 157147
UPDATE DLX CQF 65,2 36737 598171
ADD TRZ 920,5 52171 799022
REMOVE NOI 605,7 75704 264288
ADD RUG 134,1 2226 866710
ADD NJI 258,3 92683 370635
ADD ADF 912,2 32138 751408
UPDATE YEW QAA 92,2 71772 512097
UPDATE DYF KWM 66,9 8932 710466
UPDATE JTR YXR 3,0 6443 411438
ADD LKR 687,3 55519 56944
SEARCH CWM 382,3 86959 519033
ADD UDR 35,1 12393 255402
ADD LGF 405,6 83763 393628
ADD IRD 751,9 1745 138204
ADD CSV 271,3 9917 715401
ADD QKC 713,2 69364 875428
ADD KAI 129,4 63026 597779
ADD YUJ 909,0 70911 183003
ADD INA 281,4 77794 743524
REMOVE QVU 405,7 33795 601480
ADD WOB 128,5 9357 956633
UPDATE UXN URU 77,4 68474 107200
REMOVE HER 987,1 16937 646822
ADD RGN 256,2 23274 537054
REMOVE UJX 293,3 3549 528719
ADD IJD 151,8 79686 112145
ADD ICW 477,1 84575 244560
REMOVE NTN 111,3 32553 63150
ADD NTF 575,5 86030 90513
UPDATE BYI GII 32,6 17931 172230
ADD TMB 872,2 89534 726835
SEARCH CDN 209,3 83350 536489
REMOVE IKK 489,3 77643 980727
UPDATE BKN DTJ 88,3 99064 377080
SEARCH ZDI 284,1 68491 355992
REMOVE QUD 417,0 48907 81156
SEARCH FSZ 82,7 41551 47148
REMOVE UUO 697,3 41721 399009
ADD XPC 319,3 25475 795548
ADD VNI 414,0 6785 750223
REMOVE QTB 834,6 22081 304921
UPDATE MCR CFS 62,2 10516 931226
REMOVE ZZA 691,4 22688 498940
ADD WPV 624,1 45459 415793
UPDATE EBC NTA 80,5 53506 437666
REMOVE WDT 462,8 69100 923457
ADD TGW 320,6 12611 666855
REMOVE DBW 665,5 80279 914261
ADD TFN 79,2 15673 916948
ADD PBF 842,6 98970 585429
ADD FUN 199,1 35703 191112
UPDATE JHU FXR 76,2 50797 71114
REMOVE WLQ 775,0 91243 466674
ADD KHB 537,5 50358 236831
SEARCH LLH 591,6 60324 213911
ADD SUY 865,4 46930 690208
SEARCH FNE 449,5 96704 242093
UPDATE GEC QIS 19,4 29233 403582
REMOVE KIP 588,8 74053 969145
REMOVE YIS 480,8 57218 3708
ADD JMJ 354,3 55092 953340
REMOVE DBV 813,5 5657 200002
ADD XDC 303,6 27585 722279
