Register Contents:
$0 = xxxxxxxx
$1 = xxxxxxxx
$2 = xxxxxxxx
$3 = xxxxxxxx
$4 = xxxxxxxx
$5 = xxxxxxxx
$6 = xxxxxxxx
$7 = xxxxxxxx
$8 = xxxxxxxx
$9 = xxxxxxxx
$10 = xxxxxxxx
$11 = xxxxxxxx
$12 = xxxxxxxx
$13 = xxxxxxxx
$14 = xxxxxxxx
$15 = xxxxxxxx
$16 = xxxxxxxx
$17 = xxxxxxxx
$18 = xxxxxxxx
$19 = xxxxxxxx
$20 = xxxxxxxx
$21 = xxxxxxxx
$22 = xxxxxxxx
$23 = xxxxxxxx
$24 = xxxxxxxx
$25 = xxxxxxxx
$26 = xxxxxxxx
$27 = xxxxxxxx
$28 = xxxxxxxx
$29 = xxxxxxxx
$30 = xxxxxxxx
$31 = xxxxxxxx

Memory Contents:
Mem[0] = xxxxxxxx
Mem[4] = xxxxxxxx
Mem[8] = xxxxxxxx
Mem[12] = xxxxxxxx
Mem[16] = xxxxxxxx
Mem[20] = xxxxxxxx
Mem[24] = xxxxxxxx
Mem[28] = xxxxxxxx
Mem[32] = xxxxxxxx
Mem[36] = xxxxxxxx
Mem[40] = xxxxxxxx
Mem[44] = xxxxxxxx
Mem[48] = xxxxxxxx
Mem[52] = xxxxxxxx
Mem[56] = xxxxxxxx
Mem[60] = xxxxxxxx
